Nr.;x1;x2;y1;y2;z1;z2;z3;z4;U1;U2;Zeit
1;0,2;0,9;-0,1;-0,1;1,6;-9,6;-4;10;-0,0061;0,0065;0,0005
2;0,2;0,5;-0,1;-0,1;1,6;-4;-6,8;10;-0,0061;0,0065;0,001
3;0,2;0,9;-0,1;-0,1;4,4;-4;-6,8;4,4;-0,0061;0,009;0,0015
4;0,2;0,9;0,2;0,2;1,6;-4;-4;10;-0,0061;0,0065;0,002
5;-0,1;0,2;-0,1;0,5;1,6;-1,2;-4;12,8;-0,0036;0,0065;0,0025
6;-0,5;0,5;-0,1;0,2;7,2;-4;-4;10;-0,0061;0,009;0,003
7;-0,1;0,5;-0,1;-0,1;4,4;-6,8;-4;10;-0,0061;0,0065;0,0035
8;-0,1;0,9;-0,1;-0,5;4,4;-6,8;-6,8;4,4;-0,0061;0,0065;0,004
9;0,2;0,5;-0,1;-0,1;1,6;-4;-6,8;7,2;-0,0061;0,0065;0,0045
10;0,2;0,9;0,2;0,2;4,4;-6,8;-6,8;7,2;-0,0061;0,0065;0,005
11;0,2;0,5;-0,1;0,5;7,2;-4;-4;7,2;-0,0061;0,0065;0,0055
12;-0,1;0,5;-0,1;0,2;-1,2;-6,8;-6,8;7,2;-0,0061;0,0065;0,006
13;0,2;0,9;0,2;0,2;4,4;-4;-4;10;-0,0061;0,0065;0,0065
14;-0,1;0,5;-0,1;0,2;1,6;-6,8;-6,8;7,2;-0,0061;0,0014;0,007
15;0,2;0,5;0,2;-0,1;1,6;-4;-6,8;7,2;-0,0087;0,009;0,0075
16;-0,1;0,2;-0,1;0,2;4,4;-4;-4;7,2;-0,0061;0,009;0,008
17;0,2;0,9;-0,1;-0,1;1,6;-4;-6,8;7,2;-0,0036;0,0065;0,0085
18;-0,1;0,5;-0,5;-0,1;1,6;-4;-4;7,2;-0,0061;0,009;0,009
19;0,2;0,9;0,5;0,2;1,6;-1,2;-6,8;7,2;-0,0061;0,0065;0,0095
20;-0,1;0,5;-0,1;-0,1;1,6;-4;-4;7,2;-0,0036;0,0065;0,01
21;-0,5;0,2;-0,1;0,2;1,6;-9,6;-4;7,2;-0,0036;0,009;0,0105
22;-0,5;0,5;0,2;-0,5;4,4;-4;-6,8;7,2;-0,0061;0,0065;0,011
23;-0,1;0,2;0,2;-0,5;1,6;-6,8;-6,8;7,2;-0,0061;0,0065;0,0115
24;-0,5;0,5;0,2;0,2;4,4;-4;-4;7,2;-0,0061;0,0065;0,012
25;-0,1;0,5;-0,1;0,2;4,4;-6,8;-6,8;7,2;-0,0087;0,0065;0,0125
26;0,2;0,5;-0,1;0,2;1,6;-6,8;-6,8;7,2;-0,0061;0,0065;0,013
27;-0,5;0,9;0,2;0,2;4,4;-6,8;-6,8;7,2;-0,0036;0,009;0,0135
28;-0,1;0,9;-0,1;0,2;4,4;-4;-6,8;7,2;-0,0061;0,0065;0,014
29;-0,1;0,5;-0,1;0,2;1,6;-4;-6,8;7,2;-0,0036;0,0065;0,0145
30;0,2;0,5;-0,1;0,2;1,6;-4;-6,8;7,2;-0,0061;0,0039;0,015
31;0,2;0,5;0,2;0,5;1,6;-4;-4;7,2;-0,0061;0,0065;0,0155
32;-0,1;0,5;-0,1;-0,1;1,6;-4;-6,8;1,6;-0,0061;0,009;0,016
33;0,2;0,9;-0,1;0,2;1,6;1,6;-4;7,2;-0,0036;0,0039;0,0165
34;-0,1;0,9;0,2;0,2;4,4;-1,2;-4;12,8;-0,0061;0,0065;0,017
35;-0,1;0,5;-0,1;-0,1;1,6;-4;-9,6;10;-0,0087;0,009;0,0175
36;-0,1;0,2;-0,1;0,2;1,6;-1,2;-6,8;10;-0,0061;0,0065;0,018
37;-0,1;0,5;-0,1;-0,1;1,6;-4;-9,6;7,2;-0,0036;0,009;0,0185
38;-0,1;0,5;-0,1;-0,1;4,4;-6,8;-6,8;4,4;-0,0036;0,009;0,019
39;-0,1;0,5;-0,1;0,2;4,4;-4;-6,8;10;-0,0036;0,0065;0,0195
40;0,2;0,9;-0,1;0,2;4,4;-6,8;-4;10;-0,0087;0,0065;0,02
41;-0,1;0,9;-0,1;0,2;4,4;-6,8;-4;7,2;-0,0137;0,009;0,0205
42;0,2;0,2;-0,1;0,5;4,4;-4;-6,8;10;-0,0061;0,0065;0,021
43;-0,1;0,9;0,2;-0,1;1,6;-4;-4;4,4;-0,0061;0,0065;0,0215
44;0,2;0,5;0,2;0,2;1,6;-6,8;-4;10;-0,0061;0,009;0,022
45;0,2;0,5;0,2;0,2;1,6;1,6;-4;4,4;-0,0061;0,0065;0,0225
46;-0,1;0,9;0,2;-0,1;4,4;-6,8;-9,6;10;-0,0061;0,0065;0,023
47;-0,1;0,5;-0,1;0,2;1,6;-1,2;-6,8;4,4;-0,0061;0,0065;0,0235
48;0,2;0,5;-0,1;-0,1;1,6;-6,8;-6,8;10;-0,0112;0,0065;0,024
49;0,2;0,5;-0,1;0,2;4,4;-6,8;-6,8;7,2;-0,0036;0,009;0,0245
50;-0,1;0,9;-0,1;0,2;4,4;-6,8;-9,6;10;-0,0061;0,009;0,025
