Nr.,x1,x2,y1,y2,z1,z2,z3,z4,U1,U2,Zeit
1,"1,2","1,9","-0,1","-0,5","10,0","-23,6","-1,2","24,0","0,0039","0,0191","0,0005"
2,"1,2","1,9","-0,1","-0,5","10,0","-26,4","1,6","24,0","-0,0011","0,0216","0,001"
3,"0,9","2,2","-0,1","-0,1","12,8","-23,6","4,4","24,0","0,0039","0,0191","0,0015"
4,"1,2","1,9","-0,1","-0,1","12,8","-26,4","1,6","24,0","0,0014","0,0216","0,002"
5,"0,9","1,9","-0,5","0,2","10,0","-23,6","1,6","24,0","0,0014","0,0216","0,0025"
6,"1,2","1,9","-0,1","0,2","10,0","-26,4","4,4","21,2","0,0014","0,0216","0,003"
7,"0,9","1,9","-0,1","-0,5","10,0","-23,6","1,6","24,0","0,0039","0,0216","0,0035"
8,"1,5","1,9","-0,5","-0,5","10,0","-26,4","1,6","21,2","0,0014","0,0191","0,004"
9,"1,2","1,9","0,5","-0,1","7,2","-23,6","1,6","24,0","0,0014","0,0216","0,0045"
10,"0,9","1,5","-0,5","-0,1","10,0","-23,6","-1,2","24,0","0,0014","0,0241","0,005"
11,"1,2","1,9","-0,5","0,2","10,0","-15,2","-1,2","26,8","0,0039","0,0191","0,0055"
12,"0,9","1,9","-0,5","0,5","10,0","-26,4","1,6","21,2","0,0014","0,0216","0,006"
13,"1,2","1,9","-0,5","-0,1","10,0","-20,8","1,6","24,0","0,0014","0,0266","0,0065"
14,"1,2","1,9","-0,5","-0,1","10,0","-20,8","1,6","24,0","-0,0011","0,0191","0,007"
15,"1,2","1,9","-0,5","0,5","10,0","-23,6","1,6","24,0","0,0039","0,0216","0,0075"
16,"0,9","1,9","-0,5","0,2","12,8","-23,6","1,6","24,0","0,0014","0,0191","0,008"
17,"0,9","1,9","-0,5","0,2","10,0","-23,6","-4,0","26,8","-0,0011","0,0216","0,0085"
18,"1,5","1,9","-0,5","0,2","10,0","-23,6","4,4","24,0","0,0014","0,0191","0,009"
19,"0,9","1,9","-0,1","0,2","10,0","-20,8","1,6","24,0","0,0014","0,0241","0,0095"
20,"1,2","1,9","-0,5","-0,1","10,0","-23,6","1,6","26,8","0,0014","0,0216","0,01"
21,"1,2","1,9","-0,5","-0,5","10,0","-26,4","1,6","24,0","0,0014","0,0191","0,0105"
22,"1,2","2,2","-0,5","0,2","10,0","-23,6","1,6","26,8","0,0014","0,0191","0,011"
23,"1,2","1,9","-0,8","-0,5","7,2","-23,6","-1,2","24,0","0,0014","0,0216","0,0115"
24,"1,2","1,5","-0,5","0,2","10,0","-23,6","1,6","24,0","0,0014","0,0241","0,012"
25,"1,2","2,2","-0,5","0,2","12,8","-20,8","1,6","21,2","0,0014","0,0216","0,0125"
26,"1,2","1,9","-0,5","-0,1","7,2","-26,4","1,6","21,2","0,0014","0,0216","0,013"
27,"1,2","1,9","-0,5","0,2","7,2","-23,6","1,6","24,0","0,0014","0,0216","0,0135"
28,"1,2","1,9","-0,5","0,2","10,0","-23,6","1,6","24,0","-0,0011","0,0241","0,014"
29,"1,2","2,2","-0,5","-0,1","4,4","-23,6","-4,0","26,8","0,0014","0,0191","0,0145"
30,"0,5","1,5","-0,5","-0,1","10,0","-26,4","1,6","21,2","0,0014","0,0216","0,015"
31,"1,2","2,2","-0,5","-0,1","15,6","-23,6","1,6","24,0","-0,0011","0,0216","0,0155"
32,"1,2","2,2","-0,1","-0,5","12,8","-26,4","-1,2","21,2","-0,0011","0,0191","0,016"
33,"1,2","1,5","-0,5","-0,1","10,0","-23,6","1,6","24,0","0,0014","0,0216","0,0165"
34,"0,9","1,5","-0,5","-0,1","10,0","-26,4","-1,2","24,0","0,0014","0,0216","0,017"
35,"0,9","1,9","-0,1","-0,1","10,0","-26,4","1,6","24,0","0,0014","0,0191","0,0175"
36,"1,5","2,2","-0,5","-0,1","10,0","-26,4","1,6","24,0","0,0014","0,0216","0,018"
37,"1,2","1,9","-0,5","0,2","7,2","-23,6","1,6","24,0","-0,0011","0,0216","0,0185"
38,"1,2","1,5","-0,5","-0,1","10,0","-20,8","1,6","24,0","0,0014","0,0216","0,019"
39,"1,2","1,5","-0,5","0,2","10,0","-23,6","-4,0","24,0","0,0039","0,0191","0,0195"
40,"1,2","2,2","-0,5","0,2","10,0","-23,6","-1,2","21,2","-0,0011","0,0216","0,02"
41,"1,2","1,9","-0,5","0,2","12,8","-23,6","10,0","24,0","-0,0011","0,0191","0,0205"
42,"1,2","1,9","-0,5","0,2","10,0","-18,0","-1,2","21,2","0,0014","0,0241","0,021"
43,"0,9","2,2","-0,5","-0,1","10,0","-26,4","-1,2","24,0","-0,0011","0,0216","0,0215"
