t,Phase,Marker,WR,HR,V'O2,V'CO2,FEetO2,FEetCO2,V'E,VT,BF,RpM
0:00:11.420,Rest,,0,80,0.27,0.22,15.2,4.8,9.8,0.81,12,0
0:00:16.740,Rest,,0,85,0.52,0.41,14.6,5.4,14.1,1.25,11,0
0:00:19.860,Rest,,0,88,0.35,0.26,15.6,4.5,12.9,0.67,19,0
0:00:22.820,Rest,,0,81,0.43,0.32,15.2,4.7,14.9,0.74,20,0
0:00:26.640,Rest,,0,89,0.47,0.36,14.7,5.1,14.8,0.94,16,0
0:00:30.720,Rest,,0,72,0.49,0.38,14.5,5.2,14.5,0.99,15,0
0:00:35.900,Rest,,0,86,0.49,0.38,14.6,5.3,14.3,1.23,12,0
0:00:39.200,Rest,,0,86,0.35,0.27,15.5,4.5,13.6,0.75,18,0
0:00:43.080,Rest,,0,75,0.47,0.38,15.0,5.0,15.7,1.01,15,0
0:00:46.020,Rest,,0,76,0.35,0.27,15.6,4.5,13.7,0.67,20,0
0:00:48.600,Rest,,0,83,0.41,0.32,15.4,4.6,16.1,0.69,23,0
0:00:51.220,Rest,,0,80,0.38,0.30,15.6,4.4,14.8,0.65,23,0
0:00:54.100,Rest,,0,71,0.34,0.26,15.5,4.4,13.2,0.63,21,0
0:00:56.720,Rest,,0,78,0.48,0.37,15.1,4.7,16.7,0.73,23,0
0:00:59.760,Rest,,0,86,0.54,0.42,14.9,5.0,18.2,0.92,20,0
0:01:04.520,Rest,,0,82,0.52,0.42,14.7,5.2,15.6,1.24,13,0
0:01:12.860,Rest,,0,88,0.45,0.40,14.9,5.4,12.8,1.77,7,0
0:01:17.380,Rest,,0,75,0.26,0.21,15.5,4.7,10.4,0.78,13,0
0:01:20.900,Rest,,0,82,0.36,0.29,15.2,4.8,13.4,0.79,17,0
0:01:23.480,Rest,,0,81,0.38,0.30,15.4,4.5,13.8,0.59,23,0
0:01:26.040,Rest,,0,74,0.29,0.22,15.8,4.1,11.2,0.48,23,0
0:01:28.280,Rest,,0,74,0.39,0.29,15.2,4.5,13.9,0.52,27,0
0:01:30.800,Rest,,0,81,0.57,0.42,14.6,4.9,17.6,0.74,24,0
0:01:33.840,Rest,,0,84,0.52,0.39,14.8,4.9,17.2,0.87,20,0
0:01:37.640,Rest,,0,85,0.56,0.44,14.6,5.2,17.3,1.09,16,0
0:01:43.980,Rest,,0,83,0.49,0.42,14.9,5.3,14.9,1.58,9,0
0:01:47.700,Rest,,0,79,0.42,0.35,15.3,4.9,14.7,0.91,16,0
0:01:51.820,Rest,,0,81,0.48,0.42,15.3,5.1,16.2,1.11,15,0
0:01:55.360,Rest,,0,89,0.27,0.22,15.7,4.6,10.8,0.64,17,0
0:01:58.280,Rest,,0,71,0.39,0.31,15.5,4.7,14.4,0.70,21,0
0:02:00.940,Rest,,0,71,0.40,0.32,15.4,4.6,14.1,0.62,23,0
0:02:03.480,Rest,,0,81,0.51,0.40,15.2,4.8,17.4,0.74,24,0
0:02:08.140,Rest,,0,77,0.59,0.51,15.2,5.2,18.2,1.42,13,0
0:02:13.640,Rest,,0,79,0.40,0.36,15.5,5.1,13.2,1.21,11,0
0:02:16.740,Rest,,0,84,0.42,0.36,15.8,4.7,16.1,0.83,19,0
0:02:19.880,Rest,,0,83,0.48,0.42,15.6,4.9,17.4,0.91,19,0
0:02:23.760,Rest,,0,87,0.50,0.44,15.6,5.0,17.6,1.14,15,0
0:02:26.760,Rest,,0,90,0.46,0.40,15.8,4.7,18.1,0.91,20,0
0:02:29.700,Rest,,0,87,0.40,0.34,15.8,4.7,15.6,0.77,20,0
0:02:32.520,Rest,,0,82,0.52,0.45,15.5,4.9,19.1,0.90,21,0
0:02:35.580,Rest,,0,85,0.51,0.45,15.7,4.8,19.4,0.99,20,0
0:02:38.140,Rest,,0,91,0.55,0.48,15.8,4.7,21.5,0.92,23,0
0:02:40.440,Rest,,0,90,0.45,0.39,16.1,4.4,19.6,0.75,26,0
0:02:43.260,Rest,,0,94,0.54,0.48,15.9,4.7,21.6,1.02,21,0
0:02:46.120,Rest,,0,86,0.29,0.25,16.2,4.5,14.3,0.68,21,0
0:02:48.520,Rest,,0,83,0.54,0.48,15.9,4.7,22.4,0.90,25,0
0:02:51.380,Rest,,0,89,0.60,0.53,15.7,5.0,22.1,1.06,21,0
0:02:54.840,Rest,,0,95,0.41,0.37,15.9,4.8,16.2,0.94,17,0
0:02:56.960,Rest,,0,95,0.34,0.30,16.4,4.3,16.9,0.60,28,0
0:03:00.620,Exercise,,0,94,0.40,0.35,15.7,4.9,15.3,0.94,16,0
0:03:02.880,Exercise,,0,97,0.55,0.47,15.5,4.9,19.8,0.75,27,0
